read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
ca4c3bf1-4fcb-4f37-b21f-8a4b1bd96811	545	568	1000	502	9	23	34	11	2	1	1	1	1	3
ca50216e-9ee6-47d3-8b40-937ec8de634f	333	345	1000	283	15	12	35	8	7	0	2	2	0	4
ca525b53-66ab-4ec4-804b-3900ed2901b8	463	477	1000	439	8	14	16	6	3	0	0	5	0	0
ca54faf5-1666-443e-86fd-e62372925d94	403	415	1000	352	11	12	40	8	5	1	1	2	0	2
ca58a594-6108-4678-80ff-b5e17a9be290	484	502	1000	355	34	18	95	14	12	1	4	6	1	10
ca5d4764-0fb4-4634-a690-80323b40b411	407	418	1000	300	30	11	77	15	12	3	4	4	3	4
ca61ddc4-6203-4f76-88c2-5c7d630048e0	836	896	1000	560	95	60	181	39	23	4	21	29	5	13
ca68ab96-1b30-46b7-aafc-492d1356a59a	331	344	1000	206	26	13	99	30	6	1	7	7	1	4
ca72fec0-c6e4-4310-ae66-8cb110a1f8ee	469	486	1000	424	11	17	34	7	5	0	1	2	1	2
ca78a642-d647-4a86-b29d-a45f420459f1	236	238	18	226	3	2	7	3	0	2	0	1	0	0
ca7da109-3252-476e-ba0a-e13a61d907de	830	873	1000	614	67	43	149	38	29	0	6	18	3	11
ca84301e-d694-4346-a061-95a38653b3c1	640	686	1000	386	81	46	173	52	30	5	10	15	6	15
ca865f70-4136-404c-80d5-00c921ed83ff	518	546	1000	404	49	28	65	10	15	1	8	12	3	10
ca897711-b401-494b-9a4d-4d6836799011	503	523	1000	440	19	20	44	8	12	1	2	1	0	3
ca945027-3500-4731-970d-25794a340b62	259	271	1000	181	24	12	54	14	10	0	3	3	1	7
ca96bffb-bacd-486e-ab50-c0ca9c8187de	207	221	1000	124	33	14	50	13	12	1	3	7	3	7
ca98626b-e7d4-46e0-b5fa-b30c63684d55	543	565	1000	498	19	22	26	7	4	2	1	5	0	7
ca9a0607-516f-4a5b-936a-68c377365f88	210	214	1000	162	13	4	35	7	8	0	1	1	0	3
