read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
743d1ac5-7e21-47f0-ac3d-54a0d0030e53	295	310	1000	198	28	15	69	8	11	0	4	3	2	8
744677f8-fab3-460a-90cb-d1f2921a3724	456	484	1000	364	23	28	69	12	6	2	3	5	1	6
74487649-65bf-40ba-aeff-a84e232fde5a	554	575	1000	389	49	21	116	44	24	2	3	11	2	7
7448af9c-62ab-4cdb-961f-d938566dd28b	224	232	1000	161	25	8	38	3	10	4	2	4	1	4
7476778b-72a2-47b0-afea-21fdc6f344b3	478	495	1000	350	47	17	81	8	26	4	2	11	1	3
7484dbf7-0008-4848-9c84-15139a37e7d0	669	707	1000	482	76	38	111	21	25	6	9	15	5	16
74998f6d-abf9-4e1d-b38e-e4cc5f8820fe	332	340	1000	232	31	8	69	9	10	1	1	6	2	11
74a450d7-c08f-4ff2-8cb4-8dfa5806a0c2	848	892	1000	608	78	44	162	29	33	7	9	13	3	13
74a64a09-79e7-4eb2-8012-fc547f636bb0	440	473	1000	329	40	33	71	8	15	1	3	11	2	8
74af4b41-ffb5-492c-a1c1-7acf7be05acf	384	404	1000	276	36	20	72	18	12	0	6	7	2	9
74bda779-26d5-46fb-9343-5ed72695d76c	326	334	1000	305	0	8	21	4	0	0	0	0	0	0
74bf841e-7201-4cd0-9fb8-c9eab7e6cc89	832	879	1000	610	68	47	154	14	31	6	6	16	4	5
74bf8d6d-8f23-44c8-8900-97142177d26b	880	926	1000	635	76	46	169	35	29	5	9	16	8	9
74cee853-0093-4976-acf6-01ac6f4df776	120	127	240	88	7	7	25	0	3	1	0	0	0	3
74d24ff5-586c-4f04-8342-f849ea9e2c53	423	444	1000	315	36	21	72	14	13	0	2	8	6	7
74d8112e-828c-4e43-b096-e1353100b05e	315	329	1000	242	30	14	43	5	12	1	4	2	4	7
74db5b81-492b-4bd7-a3ed-81700a31eda1	864	904	1000	628	83	40	153	30	28	8	8	20	11	8
74e45100-0042-4c5d-a153-74bcc5f450d7	489	504	1000	336	39	15	114	40	19	1	3	6	3	7
74e8ce5f-3198-4095-b7cf-e9b340914a6e	525	570	1000	364	51	45	110	18	18	7	3	10	4	9
74ea9e2a-1411-402d-8daa-14770764b1d6	501	520	1000	378	36	19	87	10	18	2	3	9	2	2
74f271ee-ad65-488b-8b01-71f480bfda3a	792	818	1000	580	69	26	143	45	31	4	9	13	1	11
74f38893-132e-41b0-b48a-97ad7b32f140	322	332	1000	303	2	10	17	3	1	0	1	0	0	0
74fe65f3-7097-4cd9-b78b-2337aa69b357	469	489	1000	341	54	20	74	11	19	5	6	11	4	9
75014278-7ee6-48aa-b7d5-0d9aafb2ad18	463	480	1000	337	45	17	81	21	21	2	6	4	2	10
75015a03-06d8-4130-bca7-a1ef091bb0c6	591	626	1000	460	59	35	72	9	27	2	5	10	1	14
75018821-7ed6-4c40-9291-69f77b890e1a	389	398	1000	292	24	9	73	14	9	0	5	5	3	2
750a23d8-160b-49b7-83f1-438f9c0a3ada	295	307	1000	224	17	12	54	7	8	0	1	3	1	4
750a7aea-fe05-4019-9c8c-3c32a623747e	671	709	1000	490	53	38	128	25	29	3	3	6	2	10
750c92ba-09b2-4373-9785-ce7319486e9d	1070	1108	1000	786	91	38	193	34	31	7	8	23	4	18
750e46c6-5c28-4099-b47f-68ffec29b48c	392	410	1000	279	33	18	80	18	12	3	4	6	5	3
