read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
74998f6d-abf9-4e1d-b38e-e4cc5f8820fe	332	342	1000	304	8	10	20	2	1	0	1	1	0	5
74a450d7-c08f-4ff2-8cb4-8dfa5806a0c2	848	881	1000	825	10	33	13	5	5	0	0	2	0	3
74a64a09-79e7-4eb2-8012-fc547f636bb0	440	485	576	419	14	45	7	0	7	1	1	5	0	0
74af4b41-ffb5-492c-a1c1-7acf7be05acf	384	403	1000	351	14	19	19	5	5	0	0	3	1	5
74bda779-26d5-46fb-9343-5ed72695d76c	326	348	1000	311	6	22	9	3	3	0	1	0	1	1
74bf841e-7201-4cd0-9fb8-c9eab7e6cc89	832	948	1000	789	14	116	29	5	4	0	1	3	0	6
74bf8d6d-8f23-44c8-8900-97142177d26b	880	917	1000	833	14	37	33	12	4	1	0	4	1	4
74cee853-0093-4976-acf6-01ac6f4df776	120	780	1000	119	1	660	0	0	1	0	0	0	0	0
74d24ff5-586c-4f04-8342-f849ea9e2c53	423	439	1000	395	9	16	19	8	3	0	1	1	0	4
74d8112e-828c-4e43-b096-e1353100b05e	315	333	1000	302	4	18	9	6	1	0	1	1	0	1
74db5b81-492b-4bd7-a3ed-81700a31eda1	864	916	1000	826	15	52	23	8	9	0	0	4	0	2
74e45100-0042-4c5d-a153-74bcc5f450d7	489	518	1000	462	8	29	19	6	2	0	0	3	0	3
74e8ce5f-3198-4095-b7cf-e9b340914a6e	525	552	1000	471	22	27	32	6	12	0	0	3	2	5
74ea9e2a-1411-402d-8daa-14770764b1d6	501	528	1000	471	16	27	14	5	7	0	0	2	1	6
74f271ee-ad65-488b-8b01-71f480bfda3a	792	835	1000	759	8	43	25	10	5	0	0	2	0	1
74f38893-132e-41b0-b48a-97ad7b32f140	322	338	1000	306	7	16	9	2	2	0	1	3	0	1
74fe65f3-7097-4cd9-b78b-2337aa69b357	469	479	1000	446	10	10	13	3	3	1	1	4	0	1
75014278-7ee6-48aa-b7d5-0d9aafb2ad18	463	487	1000	447	4	24	12	6	0	0	0	3	0	1
75015a03-06d8-4130-bca7-a1ef091bb0c6	591	751	1000	553	9	160	29	6	3	0	2	3	0	1
75018821-7ed6-4c40-9291-69f77b890e1a	389	405	1000	375	2	16	12	4	0	0	0	1	1	0
750a23d8-160b-49b7-83f1-438f9c0a3ada	295	376	1000	273	8	81	14	3	3	0	1	2	1	1
750a7aea-fe05-4019-9c8c-3c32a623747e	671	775	1000	633	16	104	22	7	6	0	1	5	0	4
750c92ba-09b2-4373-9785-ce7319486e9d	1070	1105	1000	1028	10	35	32	12	2	0	0	4	0	4
750e46c6-5c28-4099-b47f-68ffec29b48c	392	410	1000	367	3	18	22	9	2	0	0	0	0	1
751690a3-ad5e-4451-adc6-2c0d9e06fd0d	437	460	1000	411	8	23	18	14	5	0	0	2	0	1
751d1ca1-a084-4615-82d1-c32f493c077a	224	264	192	218	2	40	4	0	1	0	0	0	0	1
75307d10-1181-4373-a749-db70bf3e3426	353	365	1000	341	5	12	7	4	1	0	0	2	0	2
7534e71f-64f9-4407-a898-785f188db71c	507	521	1000	475	13	14	19	5	4	0	1	2	1	5
755e36fd-06b4-4201-a162-69676707dff2	307	322	1000	280	7	15	20	7	3	1	2	0	0	1
75635690-4060-4afe-a86a-d848cd175bf3	1239	1363	1000	1173	20	124	46	23	5	0	2	5	1	7
7573c2bd-5b2d-4a20-957d-726d42ad1876	435	457	1000	421	7	22	7	0	1	0	0	5	1	0
75748e9a-6200-471d-ba9a-e4c1d1de8838	370	479	1000	339	14	109	17	0	5	1	0	6	0	2
7575c2c5-1674-4c79-b259-f1f1b518d0da	409	433	1000	376	14	24	19	7	3	1	0	4	1	5
7575e16f-afb0-4c08-99ef-7fe7eeca864c	254	337	1000	247	2	83	5	3	0	0	0	1	0	1
7579451c-1126-47ed-a47a-a3884dc17813	496	594	1000	466	14	98	16	6	1	1	3	3	1	5
7579e4a5-9d91-4549-b070-6a785d97b2a5	422	451	1000	395	15	29	12	1	5	0	1	5	0	4
7587a872-8b3c-48b0-b083-3b37f0c54a09	490	535	1000	429	28	45	33	8	9	1	1	9	2	6
75a7d090-f906-4784-854d-11751ee135e8	408	454	1000	384	4	46	20	3	0	0	0	1	0	3
75b10618-d698-4f30-aa52-7299ffb417f8	501	533	1000	466	15	32	20	5	4	1	2	3	0	5
75b3f9ae-0e05-4497-b598-aa6fb3b942f0	289	311	1000	271	3	22	15	3	1	0	0	0	0	2
75b63f29-fe12-4e6f-8ebc-cc149366c500	363	455	1000	341	7	92	15	1	3	0	0	1	0	3
75bf7cf4-b856-458a-8655-c01f2d8e7c96	595	612	1000	555	9	17	31	17	2	0	2	0	1	4
75c018a3-a7fc-4862-99ca-bd96bf8b8094	548	563	1000	528	4	15	16	6	2	0	0	2	0	0
75c327b8-804d-4c6b-ad44-cbb7bcfafc24	539	563	1000	518	5	24	16	11	2	0	1	1	0	1
75c5b580-5243-4244-93a8-51ef2e35fc58	405	440	1000	379	6	35	20	11	3	0	0	1	0	2
75c65a19-7678-408e-b5be-ec46a3bf8b08	389	489	144	386	0	100	3	0	0	0	0	0	0	0
75c93e7c-27ab-4570-8a48-69d953d0e13a	466	482	96	456	6	16	4	1	2	1	0	2	0	1
75d845a9-24b7-47d2-b0b6-28aebaa17b75	626	661	1000	589	15	35	22	4	9	0	0	3	1	2
75da882e-2787-4c51-9f86-8d8c35c8abc0	506	607	1000	471	19	101	16	3	6	0	3	5	1	4
75dd861b-5f55-4084-b6f5-6608b4a6f939	581	665	1000	559	5	84	17	3	1	0	0	1	0	3
75e40712-b1a8-4169-a9c3-bda23fddedd7	286	320	1000	229	11	34	46	15	3	0	1	2	0	5
75f14200-3185-4996-9a28-e950c636b8e4	631	645	1000	616	5	14	10	5	2	0	0	2	1	0
75f1add9-358c-4876-80b2-b171b6513119	401	416	1000	360	8	15	33	11	2	1	0	0	1	4
75fad635-ce5d-4af6-9410-812f50db4c57	487	515	1000	470	4	28	13	7	1	0	0	1	1	1
75fee221-2886-4def-985d-24307eb6e287	418	513	1000	389	6	95	23	7	1	0	2	2	0	1
7603b75e-c7c9-4d4f-a1f9-165ffd551964	773	1834	1000	743	8	1061	22	2	2	0	1	3	0	2
7609c917-dd9e-44ab-9b13-e60293d87091	432	467	1000	375	16	35	41	3	3	1	1	4	1	6
760a0329-a2fd-4dc8-aa96-ad5276db07b3	756	800	1000	702	18	44	36	15	9	0	1	4	0	4
760ec881-1ad2-4597-837a-7522fbc47ad2	1202	1237	1000	1121	32	35	49	19	15	0	5	4	1	7
76239e52-d5ce-4cfd-92b9-494c96d7454f	289	312	900	274	4	23	11	5	1	0	0	1	0	2
76245dad-6e5b-436e-8825-8dc5a769956f	800	843	1000	743	25	43	32	8	10	0	5	4	1	5
763b8ffc-ed8f-4aa6-be8d-874f552db1a1	374	399	1000	348	9	25	17	7	3	0	0	5	0	1
76498b31-fad3-4224-8897-326d740c418e	623	652	1000	586	12	29	25	8	1	3	2	4	1	1
764dfbf8-c23d-4949-a0d8-daa9e365ab8a	334	408	1000	320	4	74	10	5	3	0	0	0	0	1
7656f534-dba1-4f5b-ab1c-4a2b735c37b2	263	288	1000	228	18	25	17	3	5	1	2	8	1	1
7657d05a-b568-4a81-9619-1b9493a73ebd	543	561	1000	503	14	18	26	8	4	0	0	3	2	5
7661e103-4809-4bda-812b-9213961f8b35	357	377	1000	325	9	20	23	1	3	0	0	4	1	1
7667a280-566f-4357-9762-25ac4f39f0e5	326	732	1000	315	1	406	10	5	0	0	1	0	0	0
76686506-83f1-4c5a-8f52-8e910ec95f2b	434	458	1000	407	11	24	16	5	2	0	1	5	3	0
7668e1c7-43bf-4dbf-99aa-4e4e0548f34d	394	408	1000	375	8	14	11	6	2	0	1	2	0	3
766d8897-09c2-42e9-a1f7-104d117b04ad	375	460	1000	354	3	85	18	8	0	0	0	2	1	0
766ef32e-3d19-4cbc-b5f0-277d01433419	618	729	1000	589	9	111	20	9	1	1	0	2	4	1
767a2a86-a878-4ac1-b1c5-1e4a63393a14	500	612	1000	476	8	112	16	6	2	0	2	3	0	1
767cf32e-7d81-408b-bf1c-271767735b1f	668	691	1000	644	9	23	15	12	4	0	1	1	0	3
767d75a7-34f9-452b-82bf-56865891d5fb	930	974	1000	877	16	44	37	14	4	1	1	6	3	1
768d2079-e188-4913-8c18-d889b1309f7f	615	634	1000	581	12	19	22	6	1	1	3	2	2	3
7692cfaf-5c22-482a-8783-cbc9e39f97ae	368	382	1000	350	4	14	14	2	2	0	0	1	0	1
76973fe8-b9e9-4741-bb1f-fc3ef800b878	792	988	1000	755	21	196	16	9	9	0	2	7	2	1
7697b273-83e3-47d8-af4a-4942bf799d0d	680	910	1000	589	32	230	59	6	11	0	2	5	2	12
769ab2f1-2d8f-45f4-904b-606574da0abf	677	766	1000	650	11	89	16	5	3	0	1	5	0	2
76a0049f-3aa8-45f9-9b5d-25a5da4e4871	677	704	1000	643	8	27	26	2	2	0	1	3	0	2
76a4a786-4c17-46e3-b892-d0e9c00b5550	392	441	1000	353	13	49	26	8	6	0	1	2	1	3
76b01546-de23-4468-b697-d8e8d0f18caf	500	524	1000	473	14	24	13	6	5	1	0	3	1	4
76ba9fd2-2352-42f7-af46-978bb2e22b84	248	268	1000	239	4	20	5	2	2	0	0	1	0	1
76c86c1a-1cb5-4ac6-aae6-42344cd86ea6	406	422	1000	373	17	16	16	3	7	0	2	2	1	5
76d01829-5531-4055-8493-0166a0059a13	332	426	90	315	3	94	14	5	2	0	0	0	0	1
76d08a80-401d-4d2c-8cd5-eddec82d6e05	473	493	1000	451	6	20	16	4	3	0	0	2	1	0
76d56249-3e79-4b9b-9b75-4902f8ea0b8b	267	306	1000	249	2	39	16	6	0	0	0	1	0	1
76d85d8a-96df-48c4-a037-8489c002dc0f	814	877	1000	727	32	63	55	11	8	2	2	7	2	11
76d8f431-22ff-4d24-ad2e-981f1a8046ff	472	485	1000	432	13	13	27	8	3	1	0	3	0	6
76db74e7-585a-4854-b3ec-cb65365618e6	400	424	630	385	6	24	9	3	3	0	0	1	0	2
76db924f-86a1-4836-a914-4846d43d2f0a	920	950	1000	877	12	30	31	10	2	0	1	5	0	4
76e25da8-2fe7-4069-a308-b6b380895ed4	613	643	1000	546	20	30	47	22	8	0	1	3	0	8
76ff363f-0339-4dd0-9350-e5fa8674e591	358	375	1000	292	25	17	41	24	6	0	3	8	0	8
770b2b45-7dc6-4ce8-96c7-ed145da15d3a	334	347	1000	306	8	13	20	3	2	0	0	0	1	5
7711de97-d533-4eed-888b-de1412b4b905	618	646	1000	575	10	28	33	8	4	0	2	1	0	3
7722a0d4-9ef8-436b-ba4d-ebe09cf1a0be	296	328	1000	283	5	32	8	2	4	0	0	1	0	0
7735c316-ed07-4d4c-bef9-cf775e7e6637	487	511	1000	428	10	24	49	18	4	1	0	2	0	3
773cdd0d-ee83-4deb-813e-57673cb65836	530	544	1000	492	11	14	27	14	3	1	0	5	0	2
774cdfac-33db-4c85-8707-2c8a31f9db5a	389	421	1000	364	10	32	15	4	4	0	0	3	0	3
776718ae-11f4-41a7-abbc-5d6fbf4351ab	603	633	1000	543	34	30	26	9	8	1	2	11	0	12
776c6574-f849-4a6e-9102-a31236bf40c1	221	246	864	197	7	25	17	8	3	0	0	1	2	1
776fd247-ab81-4ab1-9872-d34abcca2f8b	243	259	1000	229	5	16	9	6	4	0	0	1	0	0
77775d8b-eb90-4d56-a6a7-cbb3ca93c227	629	649	1000	596	8	20	25	3	3	0	2	2	0	1
777e278e-a6eb-4cfd-bd78-d629667a4923	610	646	1000	566	19	36	25	6	7	1	1	3	2	5
7781f42e-40f3-4769-82ae-5ca61e3dcb69	224	301	60	223	0	77	1	1	0	0	0	0	0	0
7784dff9-0c3d-4801-b2c5-b1a2b73aa52d	809	835	1000	757	15	26	37	15	6	2	2	2	1	2
7785fd0b-fa9e-4fa4-aab9-0da18f957831	530	633	1000	479	10	103	41	4	3	0	2	3	0	2
778a91e8-b482-4e6a-9fc6-80f6905c2cbf	477	586	1000	457	2	109	18	7	1	0	0	1	0	0
779bc98b-5a9f-4cab-9a87-8936147b3ab5	236	257	360	218	4	21	14	3	1	0	0	3	0	0
77a85ff5-066f-4dab-99ff-da88b2290fdf	528	554	1000	507	6	26	15	10	1	0	0	3	0	2
77aaae6e-ea24-44e4-a305-4ea032f8191e	478	517	1000	447	9	39	22	5	3	0	0	1	0	5
77abbd54-bb52-4fc2-98d0-7ddab3c6166e	449	492	1000	406	13	43	30	12	0	0	1	4	0	8
77ac1dce-bbdb-42fc-8a5e-43c6e16770cd	299	316	1000	280	3	17	16	8	1	0	0	0	0	2
