read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
00af8b45-3c33-4fd6-ba14-5839727541aa	336	451	1000	314	7	115	15	6	1	1	2	1	0	2
00b36db1-de91-4dc4-80bf-860a9b1544f7	445	462	1000	433	5	17	7	1	0	0	0	5	0	0
00b39547-4278-445f-b113-b4a23e093044	236	324	1000	223	6	88	7	3	2	0	1	0	0	3
00b60e41-ff30-4563-9541-f72d75cbd772	333	553	1000	314	2	220	17	5	0	0	0	0	0	2
00b74340-0474-4fb0-a5aa-9449672f3282	417	451	1000	399	8	34	10	3	4	0	2	1	0	1
00b755f3-3fa6-4710-a710-04df0268ad32	353	378	1000	321	12	25	20	10	4	1	0	1	0	6
00b84168-dc7f-487d-b3e0-9e213d0b1466	290	311	1000	262	6	21	22	8	3	0	0	2	0	1
00b85ef2-0046-4bd6-949d-3f6203a08be3	187	519	16	178	1	332	8	1	0	0	0	0	0	1
00ba4f7b-4945-4838-bb12-3a13d95b7b78	390	411	1000	376	5	21	9	3	1	0	0	2	0	2
00bb8c9f-1d81-459c-9116-7af696994f85	371	449	1000	352	6	78	13	2	3	0	0	2	0	1
00bc6f96-7069-48b7-8a2e-e7d72f0f24af	355	376	1000	345	2	21	8	5	0	0	0	1	0	1
00bcd4f4-4bc4-486d-a604-b0ea0d1afa6b	255	269	864	244	5	14	6	1	2	0	1	1	0	1
00bdac9e-a505-4cd8-9b26-17a47dd0c12b	672	697	1000	649	6	25	17	9	2	0	0	2	0	2
00be3fcc-d33d-4947-93a4-ab7de4ee71b2	534	553	1000	509	10	19	15	7	3	0	1	4	0	2
00be75c0-7545-497a-afe5-91b4a3ed40b1	370	648	1000	342	7	278	21	4	3	1	1	0	0	2
00be8ee1-7b52-4428-8dc2-3caefc551648	340	447	1000	310	4	107	26	11	2	0	0	2	0	0
00becb7f-b3b5-4701-af2d-85a89274141c	292	405	1000	254	12	113	26	1	4	0	2	2	0	4
00c0e556-602e-4c8d-bbb3-bcaa8a5d6bcb	435	531	1000	404	3	96	28	9	2	0	0	1	0	0
00c2f2f8-fb56-4f5f-9b90-36ef902783b8	319	340	1000	284	9	21	26	7	5	0	1	1	0	2
00c35ef9-beba-402a-8903-9ebd20f5e9ac	518	631	1000	510	2	113	6	3	1	0	0	0	0	1
00c376a7-399c-4dfa-9cfd-8d20bcde6cc1	289	322	1000	278	3	33	8	1	2	0	1	0	0	0
00c3ca95-bf17-4428-b82c-67fbd53d81b7	348	442	1000	326	9	94	13	4	3	0	3	0	0	3
00c42f94-13a7-4f49-b870-fecd609b5681	488	529	1000	446	6	41	36	11	1	0	1	0	0	4
00c55558-b39e-4e86-b5bd-7f202db39b2d	569	657	1000	541	10	88	18	4	4	1	0	1	0	4
00c63348-eaaf-4b9c-9e9a-e765f8d3f3c0	413	436	1000	399	6	23	8	2	1	0	1	1	0	3
00c6abad-7fae-4519-b547-f8ac9cf1e9f7	252	260	1000	244	1	8	7	2	0	0	0	1	0	0
00c6b309-1e3c-4a46-9c61-0471814af403	512	538	1000	454	10	26	48	21	3	0	2	3	0	2
00c9ac03-599c-436a-95a0-afbc22d1b6dd	330	421	1000	317	2	91	11	8	1	0	0	0	0	1
00ca3794-533c-4fbe-9454-c654ad28c7ac	216	239	1000	204	4	23	8	0	2	1	0	1	0	0
00ca3d41-c509-463e-9f59-c9dc7d3a38d1	530	545	1000	500	10	15	20	5	4	0	2	1	0	3
