read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
0065f710-374e-400a-93d6-75d00aa38d68	641	680	1000	501	46	39	94	11	18	2	1	19	2	4
0069191f-89e7-4f77-8fe3-87465d13f860	333	346	1000	306	3	13	24	8	2	0	0	0	0	1
006a9885-895f-4d18-9976-d0b6a5c8b94d	383	417	1000	266	50	34	67	9	15	3	12	6	6	8
006c533c-0bbc-418d-a3d5-0c1b163188cf	496	524	1000	385	35	28	76	11	11	2	5	10	2	5
006ef79d-2de4-44bb-ba0a-7204b8b7b832	308	317	1000	297	2	9	9	4	1	0	0	0	0	1
0071f553-23d5-470b-b333-709d1ca599ad	360	375	1000	314	5	15	41	9	0	1	0	2	0	2
00734224-afb3-4fa1-b0af-7d204454ca3c	455	470	1000	423	9	15	23	6	5	1	0	1	0	2
007653f2-0409-46e0-98d4-cf2c5a157baf	672	707	1000	450	62	35	160	49	21	3	6	14	4	14
00776f78-2db1-4b36-9d5e-d1f4181f64e2	326	340	1000	252	26	14	48	10	15	1	1	4	1	4
0078e02e-c0b2-4a4c-b0b7-14644a2e0148	276	304	1000	185	40	28	51	3	15	2	5	8	2	8
007928f5-7d92-4dc5-b41f-94c8b8db75ad	769	817	1000	630	40	48	99	15	16	1	5	8	1	9
007b1d8f-d79d-401c-aea1-ca75af826781	558	570	1000	468	15	12	75	21	5	0	3	3	2	2
007dc87c-b931-4979-aa5b-a59b3cc756f3	225	245	1000	176	24	20	25	2	11	3	3	4	1	2
007dd3ed-8b42-4826-9cb9-f107b2c8a04e	473	489	1000	424	13	16	36	9	3	2	3	1	0	4
007e84ba-324a-4de1-8cd3-07284e41c058	468	491	1000	363	49	23	56	10	17	3	4	9	2	14
00802123-43a9-49fd-9b38-c886708a912c	270	285	1000	206	18	15	46	5	9	1	1	3	1	3
0082cfe2-0b7e-446a-b9eb-018c6d903112	255	269	1000	214	16	14	25	5	5	0	2	5	1	3
0082e24f-3d13-4b53-acc7-1f0adb52c1a2	417	482	1000	327	35	65	55	5	19	1	4	2	1	8
00843046-c0b2-4c8a-8ef4-e2ff7cbf1c58	281	301	1000	200	30	20	51	7	5	3	4	9	4	5
0084eb19-404f-400f-8dbb-cd694b6ccad8	411	446	1000	275	51	35	85	23	20	0	8	8	6	9
0085be29-89f4-4045-a441-c765798f21a3	549	563	1000	497	8	14	44	15	4	0	1	1	0	2
0086cae9-4b59-4516-b1b4-6f7cbde3da8d	322	341	1000	239	24	19	59	32	10	1	1	6	3	3
008757ff-01c2-4e65-b1de-61587ae8d762	382	389	1000	299	19	7	64	11	6	0	4	5	1	3
0089a226-f236-41ca-ac13-9d0d049cba15	334	349	1000	236	23	15	75	11	10	0	4	4	0	5
008bb48a-3bd3-4c48-8078-1c64897f4944	345	361	1000	267	29	16	49	11	14	2	1	6	2	4
008dc62e-6500-4bef-a2c4-529279ce9c8c	334	343	1000	310	2	9	22	5	2	0	0	0	0	0
00912fda-120d-40de-89ab-860d8fd6d80f	249	260	1000	217	12	11	20	2	4	2	0	1	2	3
009138dd-9708-4a65-b2fd-8b5d9913bdd0	233	237	1000	212	4	4	17	1	3	0	0	1	0	0
009149ae-fb30-4805-b974-a06686200876	370	378	1000	340	7	8	23	6	1	1	2	3	0	0
0092601c-91dd-46dc-ac7b-b5dc6f1d2cd6	769	802	1000	627	41	33	101	19	15	2	8	6	2	8
00929e53-a66d-4795-ac82-c09273a0923a	673	715	1000	543	46	42	84	19	22	2	5	8	1	8
0093bdc8-ef30-4072-868e-14b95ae446fd	426	447	1000	329	35	21	62	20	14	1	3	11	3	3
00976af5-6316-44d8-8f08-9cfa53c83c8b	357	371	1000	258	24	14	75	24	13	0	2	5	2	2
00977052-07c4-449e-9107-888ba2a898d3	235	239	1000	211	7	4	17	10	1	0	2	2	0	2
0098cf5d-33a2-4660-ab56-dd2f178b0e03	219	227	1000	207	4	8	8	2	3	0	0	0	0	1
009a035c-0f7b-48ab-9850-e27f641eb762	325	345	1000	235	25	20	65	6	3	2	4	8	1	7
009ac7f3-ed6b-44a0-a28b-66142c617fe1	215	217	1000	200	1	2	14	2	1	0	0	0	0	0
009b1220-ed72-4539-8bb3-73139e064fa3	285	289	1000	201	23	4	61	16	11	0	3	4	1	4
009b305d-0224-4ec8-bcfa-e571a7a68a12	349	372	1000	268	26	23	55	10	6	1	2	8	3	6
009b6399-4500-443d-b7a3-dddecb4a31a5	664	706	1000	467	49	42	148	30	18	3	10	8	2	8
009e992b-6cc3-41d8-b70b-7ff0c1a9cda1	217	227	1000	198	2	10	17	3	0	0	1	0	1	0
009fecf5-600a-4826-a44e-c65276ea4c15	216	221	624	204	5	5	7	1	1	1	1	1	0	1
009ff40b-8058-46ff-9234-156fecc46e66	508	529	1000	466	12	21	30	7	1	0	0	4	4	3
00a01321-95dc-4cc2-bb26-2f4a71f84fc1	334	347	1000	305	4	13	25	8	3	0	0	0	0	1
00a06575-ea10-44d1-a6cb-0a5314044a17	453	460	1000	404	8	7	41	13	2	0	1	2	1	2
00a1a3d3-a010-449b-bdfe-5bd1ba6a96a7	233	241	1000	215	4	8	14	1	2	0	0	2	0	0
00a4e8bc-642c-4126-b638-fe8a604df88d	140	144	432	126	2	4	12	4	0	0	1	1	0	0
00a5c5c4-86a3-43a2-97ef-235853bcf71c	330	341	1000	231	31	11	68	12	12	1	2	7	0	9
00a84c62-284e-44c8-8091-6eb16bc452cd	350	358	1000	283	16	8	51	7	7	1	2	2	1	3
00a852d6-86ef-4a64-afa9-86dcdcce2455	483	502	1000	372	36	19	75	11	11	2	4	9	1	9
00a8bc4a-8f28-46c0-832c-784a8d2841be	415	431	1000	386	5	16	24	10	2	1	1	0	0	1
00a964d8-f681-41d1-a9c8-14ce4afd65e9	356	375	1000	234	29	19	93	26	8	4	3	7	2	5
00a9b116-a7b8-443b-bb7c-69a289473f7d	428	438	1000	401	6	10	21	12	3	0	0	1	1	1
00aa1576-a767-4abf-b36b-3353fb33a4d4	134	142	1000	95	12	8	27	8	4	0	0	5	1	2
00aa44cc-47a3-4ee4-996c-249e9f5fa636	254	266	1000	202	18	12	34	4	9	0	4	2	0	3
00aae6eb-9f84-4b9f-8ddf-12f53b7e140e	759	796	1000	561	63	37	135	31	26	2	3	19	3	10
00abb05c-ada6-467c-a2e5-186dc2936fe1	153	156	576	137	2	3	14	4	2	0	0	0	0	0
00af8b45-3c33-4fd6-ba14-5839727541aa	336	346	1000	325	1	10	10	3	0	0	0	0	0	1
00b36db1-de91-4dc4-80bf-860a9b1544f7	445	461	1000	383	20	16	42	14	7	0	3	6	1	3
00b39547-4278-445f-b113-b4a23e093044	236	238	144	222	3	2	11	2	1	1	0	0	1	0
00b60e41-ff30-4563-9541-f72d75cbd772	333	342	1000	282	13	9	38	11	8	0	1	0	1	3
00b74340-0474-4fb0-a5aa-9449672f3282	417	444	1000	375	17	27	25	7	9	0	1	2	0	5
00b755f3-3fa6-4710-a710-04df0268ad32	353	370	1000	218	37	17	98	52	15	1	9	6	2	4
00b84168-dc7f-487d-b3e0-9e213d0b1466	290	304	1000	256	13	14	21	8	4	2	5	1	0	1
00b85ef2-0046-4bd6-949d-3f6203a08be3	187	196	1000	175	3	9	9	0	1	1	1	0	0	0
00ba4f7b-4945-4838-bb12-3a13d95b7b78	390	413	1000	293	33	23	64	13	17	1	0	9	4	2
00bb8c9f-1d81-459c-9116-7af696994f85	371	403	1000	305	18	32	48	9	6	1	3	1	2	5
00bc6f96-7069-48b7-8a2e-e7d72f0f24af	355	368	1000	236	37	13	82	25	14	7	2	7	3	4
00bcd4f4-4bc4-486d-a604-b0ea0d1afa6b	255	260	1000	240	1	5	14	5	0	0	0	1	0	0
00bdac9e-a505-4cd8-9b26-17a47dd0c12b	672	729	1000	481	63	57	128	15	24	4	3	16	4	12
00be3fcc-d33d-4947-93a4-ab7de4ee71b2	534	562	1000	403	43	28	88	23	14	4	4	12	4	5
00be75c0-7545-497a-afe5-91b4a3ed40b1	370	403	1000	321	17	33	32	6	4	1	2	1	1	8
00be8ee1-7b52-4428-8dc2-3caefc551648	340	351	1000	305	10	11	25	6	1	2	2	3	1	1
00becb7f-b3b5-4701-af2d-85a89274141c	292	295	1000	262	7	3	23	5	2	0	0	1	2	2
00c0e556-602e-4c8d-bbb3-bcaa8a5d6bcb	435	450	1000	360	17	15	58	16	6	0	2	4	0	5
00c2f2f8-fb56-4f5f-9b90-36ef902783b8	319	338	1000	258	15	19	46	12	4	2	1	2	0	6
00c35ef9-beba-402a-8903-9ebd20f5e9ac	518	544	1000	404	27	26	87	17	12	1	3	6	1	4
00c376a7-399c-4dfa-9cfd-8d20bcde6cc1	289	301	1000	230	17	12	42	6	6	3	3	0	1	4
00c3ca95-bf17-4428-b82c-67fbd53d81b7	348	361	1000	338	3	13	7	3	1	0	1	1	0	0
00c42f94-13a7-4f49-b870-fecd609b5681	488	510	1000	382	24	22	82	11	8	1	3	5	0	7
00c55558-b39e-4e86-b5bd-7f202db39b2d	569	607	1000	401	61	38	107	15	13	2	13	11	9	13
00c63348-eaaf-4b9c-9e9a-e765f8d3f3c0	413	419	1000	384	4	6	25	5	2	0	0	2	0	0
00c6abad-7fae-4519-b547-f8ac9cf1e9f7	252	274	1000	203	16	22	33	2	9	0	1	0	2	4
00c6b309-1e3c-4a46-9c61-0471814af403	512	550	1000	337	67	38	108	32	24	9	10	10	6	8
00c9ac03-599c-436a-95a0-afbc22d1b6dd	330	343	1000	295	11	13	24	5	5	0	2	1	0	3
00ca3794-533c-4fbe-9454-c654ad28c7ac	216	225	1000	199	2	9	15	4	0	0	0	1	0	1
00ca3d41-c509-463e-9f59-c9dc7d3a38d1	530	548	1000	378	49	18	103	22	27	2	3	8	4	5
00cadca2-a9a5-4123-a558-b98b269cef59	196	206	1000	138	17	10	41	11	5	1	3	3	2	3
00cd5745-8f83-4160-9e1f-9a4dab131182	323	343	1000	263	24	20	36	9	9	0	5	4	2	4
00cd7c6f-252e-4687-adc5-6a3e94c25abf	250	261	1000	216	15	11	19	2	5	0	1	2	3	4
00ce2c3e-449a-44fe-b074-d0eff616a428	804	854	1000	561	74	50	169	18	29	2	12	14	4	13
00cf412c-bf14-4f5d-a3d0-ae0a0c6fb04c	333	349	1000	292	8	16	33	9	2	0	0	4	0	2
00d01637-18e7-47ad-bb96-e53cfd8ba579	465	479	1000	441	2	14	22	8	0	0	0	0	0	2
00d1f501-6d39-4013-847d-63e40c89d86a	397	427	1000	277	31	30	89	7	11	2	5	4	5	4
00d4b7a3-36ac-4655-a7e2-01c5a9bb4966	333	356	1000	259	27	23	47	9	7	2	5	7	0	6
00d53ddf-3c5e-4295-a1c2-8ab5165f4468	217	222	1000	210	0	5	7	3	0	0	0	0	0	0
00d6abfe-b9f9-4626-9292-0e5ab3d07e92	287	307	1000	247	14	20	26	4	4	1	2	2	0	5
00d6b3cb-bdcf-4891-924b-3edc32691f6f	302	314	1000	280	3	12	19	3	1	0	0	0	0	2
00d7cf2b-db7d-4b0a-bfb8-9e274bfc2459	313	334	1000	269	21	21	23	4	8	0	2	5	2	4
00d7d865-8113-4b3e-a827-492f72525be1	216	229	1000	151	28	13	37	11	14	0	2	6	2	4
00d98080-0c17-427a-bf5a-aeafcf18bf86	326	333	1000	306	5	7	15	4	2	0	1	1	0	1
00d9afed-4ad7-4e81-bf5e-51d9bef658d0	260	269	1000	230	13	9	17	7	9	0	0	1	1	2
00dab6e6-cf5a-4113-bb16-4039540aea32	506	526	1000	394	38	20	74	5	12	1	3	8	3	11
00db7502-5622-4489-8b6f-10b1d7fb49b6	180	186	1000	123	19	6	38	7	7	2	3	5	0	2
00db8e44-c19d-49d6-ab49-e1171a5cff0f	241	256	1000	216	9	15	16	4	6	0	0	2	1	0
00dbc729-f374-4da1-a026-9ba294a4fbba	292	300	1000	270	4	8	18	3	1	0	1	1	0	1
00de0aa0-6b44-4199-9038-a022b63767d5	348	379	1000	260	23	31	65	9	9	0	3	4	1	6
00de5b3a-53ec-4ea4-af07-11aca9f588f5	369	382	1000	310	19	13	40	10	7	0	2	4	2	4
00dfe474-4280-4328-84c2-b2defd25f8df	485	493	1000	450	6	8	29	8	1	0	1	0	1	3
00e06123-67f3-4757-93cb-95e059726c7c	635	651	1000	472	64	16	99	26	20	7	6	22	2	7
00e1c9bc-2e0e-4441-8c3e-f34b0f2c5e3d	413	431	1000	288	42	18	83	13	17	1	6	5	3	10
00e20203-5152-4156-a0be-f5ccfb7938f9	326	357	1000	273	26	31	27	3	9	3	3	3	0	8
00e5ed82-9e25-46f3-b689-f7a4fc746fb0	330	340	1000	290	10	10	30	3	4	0	2	1	0	3
00e750d3-9f57-4cc1-8601-cf2e906f0da9	429	436	1000	400	4	7	25	12	0	0	0	2	0	2
00e808b2-cc51-4da2-8128-569b69d45b8b	326	331	1000	282	6	5	38	11	3	0	1	2	0	0
00e87291-7a97-4c60-92b0-77346c0a5a3e	157	167	480	113	22	10	22	1	10	0	2	6	1	3
00ea88d2-a216-4160-8b90-361e03083a96	410	452	1000	299	37	42	74	12	22	3	2	5	0	5
00ebbec2-6584-47ab-90b4-cbdf14d7f74c	275	286	1000	220	18	11	37	7	8	0	3	2	1	4
00eca839-97b1-4e7e-a182-e6eb034d8816	550	571	1000	403	37	21	110	40	14	1	11	7	1	3
00eec6bf-ffbb-4f19-820f-c20355297315	491	509	1000	351	47	18	93	16	20	3	1	10	6	7
00eecc8c-2820-43d6-ac77-a64f5c24d69b	333	341	1000	296	8	8	29	6	5	0	1	2	0	0
00f2e4d1-6d13-4dd2-b383-98354ec0e960	608	643	1000	413	58	35	137	40	16	10	5	16	4	7
00f43dee-d052-4ef3-ace4-bc59873ead8c	324	333	1000	240	30	9	54	9	11	2	4	6	1	6
00f666b7-609e-4ad8-9d6a-d0ae8bbfc436	314	332	1000	268	15	18	31	6	7	0	1	3	1	3
00f86389-8b1c-419c-bf34-c0fe8c1f58fd	283	290	1000	259	6	7	18	0	1	0	1	2	0	2
00f8a4cd-da17-43b0-9d4f-41d1c9ad58f6	316	330	1000	287	5	14	24	9	1	0	0	0	1	3
00f92f7d-38b0-4082-a064-b1dcf919b6dd	241	265	1000	177	24	24	40	0	9	5	3	3	1	3
00fb1a0a-bece-452e-a3ed-297d08ee1aad	241	244	1000	222	0	3	19	4	0	0	0	0	0	0
00fb2f8e-bcaa-431e-b823-b5b861dc46a7	382	399	1000	303	21	17	58	14	11	3	2	2	0	3
00fb7258-aab0-4234-a50e-58675d66f186	258	276	1000	226	4	18	28	7	3	0	0	1	0	0
00fbcc35-1511-4a5f-b383-2d9e0b64bffd	456	474	1000	382	18	18	56	10	5	0	2	5	2	4
00fc1f3e-9623-45f3-a086-5bc2c1b78840	193	200	1000	160	8	7	25	7	3	0	1	1	2	1
00fcc5b1-bf13-4fbb-944f-c6531d530dfc	717	748	1000	553	35	31	129	26	13	1	4	5	1	11
00fe82b8-0374-449a-9fcb-a34d676bc3cc	326	344	1000	250	21	18	55	13	9	0	2	3	3	4
01035517-cbc2-497c-b647-d30d83f1b0fc	536	561	1000	444	25	25	67	10	8	1	4	2	2	8
0104c720-8fc5-4be5-80b6-5479b4b49d98	353	372	1000	320	8	19	25	5	3	0	0	1	2	2
0106143c-a053-4bee-9112-3cc447fbadb5	362	366	1000	341	4	4	17	4	0	0	1	1	0	2
0106ad65-6890-40c5-9e12-f58100b3144c	282	295	1000	214	20	13	48	16	5	0	3	5	0	7
0106c496-6fd0-447c-8003-d1e6bdffce81	318	341	1000	290	7	23	21	4	1	0	1	1	0	4
01081905-2364-4c70-821a-5b60d813afc7	144	151	72	127	7	7	10	3	1	0	1	0	2	3
0108c983-62fa-4725-8d65-7ef9dbbf3898	237	250	54	221	6	13	10	2	1	0	1	1	2	1
0108e5e7-e37c-4e91-b506-780888815699	129	135	1000	104	8	6	17	6	0	0	2	3	0	3
010b4581-cb85-488b-bdf2-113dadda187b	377	396	1000	306	24	19	47	8	5	2	2	8	2	5
010b73ac-b8e9-482c-89e0-0a33739b0840	479	500	1000	445	9	21	25	9	4	0	1	1	1	2
010c73e3-1b39-4cac-b13f-9a234454b2f4	545	561	1000	503	14	16	28	7	3	0	3	1	1	6
010c92f5-cc0f-4ecf-bdd9-3cc0a91196ee	173	193	1000	145	11	20	17	4	1	3	1	3	1	2
010d99af-5eba-4fa8-96de-44f056586c27	325	339	1000	309	2	14	14	3	0	0	0	1	0	1
010f1897-9144-4808-97f1-52eea1b34e70	274	280	1000	253	3	6	18	3	0	0	0	1	1	1
010f4834-f681-4d51-bcf7-01fe1ea7c356	420	427	1000	400	4	7	16	6	0	1	1	1	1	0
0113c395-c963-40e8-9e81-290299595387	513	533	1000	378	47	20	88	11	23	2	3	10	2	7
0113cc1c-6c4f-4d55-9499-67fc334a5337	514	532	1000	393	36	18	85	14	17	1	6	4	0	8
011407cb-17ce-46d6-95ef-501f4fcbbd4b	845	874	1000	608	62	29	175	30	21	1	6	10	6	18
0117d071-f600-4be8-adae-5818b666d109	314	320	1000	292	3	6	19	2	1	0	0	0	1	1
011941b7-32f8-487b-a646-ecdd4492fa63	374	381	1000	343	3	7	28	5	2	0	0	1	0	0
01199078-8ffc-4a93-aa74-77f7a7d6a56e	391	409	1000	376	1	18	14	3	0	0	1	0	0	0
011a8bdf-a0f1-49e1-86a6-85900b00fb02	496	515	1000	452	8	19	36	8	1	1	2	1	1	2
0123638d-6f33-4c3b-b228-aad3e7ce6a3f	429	446	1000	382	11	17	36	11	2	0	1	4	0	4
0123bd7a-a19f-4b75-88cf-6214eab7a4e5	381	394	1000	277	41	13	63	12	13	3	3	11	3	8
0124ad6e-2c87-4662-bba6-5640495dcf4a	273	294	1000	195	33	21	45	12	11	2	5	8	3	4
01265bc9-42ef-40ae-9db1-4f6777549b3b	489	514	1000	438	19	25	32	4	4	2	3	2	2	6
012719eb-133f-49a8-983d-9f8382158e90	291	311	1000	171	46	20	74	36	26	1	6	7	1	5
01294e67-dcb5-4c9c-b148-28765565ddb2	110	117	960	93	9	7	8	0	3	0	0	2	0	4
012a5d1b-ccad-4614-ac7c-c12b7e590fe1	562	612	1000	458	47	50	57	10	20	5	3	6	5	8
012b1458-efd3-41e1-a5e4-2b17c731e772	491	520	1000	365	38	29	88	17	20	0	3	9	1	5
012e8069-b589-4483-87a9-19e0c1c24b73	407	416	1000	353	6	9	48	8	1	0	0	2	1	2
012fefae-3080-4f27-9163-f6d962bb2c8c	228	243	1000	184	18	15	26	6	10	0	3	5	0	0
013090b2-4139-4aaa-aa7f-e07fb374f970	435	462	1000	372	13	27	50	11	3	0	2	2	1	5
0130ac03-7706-4ca6-9cc9-d77a79e193e9	466	490	1000	415	15	24	36	5	4	1	3	2	3	2
